Environment,Value iteration,Perseus,Atpo,Random agent
abandoned_power_plant,94.91(±1.99),95.12(±2.1),94.75(±2.35),47.44(±62.31)
cit,86.22(±2.27),85.09(±2.53),75.66(±9.52),-81.25(±20.88)
gridworld,95.62(±1.54),93.44(±3.13),86.53(±9.12),5.88(±64.13)
isr,92.41(±2.68),91.16(±4.68),82.62(±12.19),-23.31(±68.05)
mit,84.5(±0.87),84.09(±0.58),83.72(±0.57),-71.41(±20.01)
ntu,98.0(±0.0),97.25(±0.43),97.19(±0.53),88.0(±7.42)
overcooked,39.12(±60.73),39.0(±60.63),25.31(±66.43),-46.75(±18.1)
pentagon,91.0(±0.0),90.62(±0.6),81.19(±11.04),-45.94(±55.14)
pursuit-both,90.19(±8.32),84.44(±11.76),82.72(±12.81),20.72(±69.47)
pursuit-task,92.72(±4.87),88.03(±7.51),82.59(±11.18),14.59(±71.34)
pursuit-teammate,89.88(±8.38),86.97(±12.04),86.41(±14.52),-7.66(±78.7)
